point,pipeline,unit,quantity,program_value,truth_value,delta,delta_m_equiv,tolerance,status,truth_source
N3,geodetic->SPC 2111,ift,northing,635458.291,635458.291,0,0,0.006561679790026247,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,ift,easting,26915166.305,26915166.305,0,0,0.006561679790026247,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,ift,grid_scale_factor,0.99990954,0.99990954,0,,2e-08,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,ift,convergence_arcsec,6907.65,6907.65,0,,0.02,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,ift,geoid_height_m,-36.636,-36.636,0,,0.002,PASS,geoid_N3.json
N3,geodetic->SPC 2111,ift,elevation_factor,0.99997703,0.9999770306594294,-6.594294e-10,,2e-08,PASS,geoid_N3.json + derivation R/(R+H+N)
N3,geodetic->SPC 2111,ift,combined_factor,0.99988657,0.999886572737236,-2.737235993e-09,,2e-08,PASS,llh_N3_2111.json k * derived EF
N4,geodetic->SPC 2111,ift,northing,856363.207,856363.207,0,0,0.006561679790026247,PASS,llh_N4_2111.json
N4,geodetic->SPC 2111,ift,easting,25856018.162,25856018.162,0,0,0.006561679790026247,PASS,llh_N4_2111.json
N4,geodetic->SPC 2111,ift,grid_scale_factor,1.00000944,1.00000944,0,,2e-08,PASS,llh_N4_2111.json
N4,geodetic->SPC 2111,ift,convergence_arcsec,-4083.65,-4083.65,0,,0.02,PASS,llh_N4_2111.json
N4,geodetic->SPC 2111,ift,geoid_height_m,-33.796,-33.796,0,,0.002,PASS,geoid_N4.json
N4,geodetic->SPC 2111,ift,elevation_factor,0.99996215,0.99996214769776,2.302239954e-09,,2e-08,PASS,geoid_N4.json + derivation R/(R+H+N)
N4,geodetic->SPC 2111,ift,combined_factor,0.99997159,0.9999715873404342,2.65956579e-09,,2e-08,PASS,llh_N4_2111.json k * derived EF
N1,geodetic->SPC 2111,usft,northing,117896.795,117896.795,0,0,0.006561666666666667,PASS,llh_N1_2111.json
N1,geodetic->SPC 2111,usft,easting,26090433.253,26090433.253,0,0,0.006561666666666667,PASS,llh_N1_2111.json
N1,geodetic->SPC 2111,usft,grid_scale_factor,1.00011284,1.00011284,0,,2e-08,PASS,llh_N1_2111.json
N1,geodetic->SPC 2111,usft,convergence_arcsec,-1574.24,-1574.24,0,,0.02,PASS,llh_N1_2111.json
N1,geodetic->SPC 2111,usft,geoid_height_m,-36.994,-36.994,0,,0.002,PASS,geoid_N1.json
N1,geodetic->SPC 2111,usft,elevation_factor,0.99997756,0.9999775576285929,2.371407182e-09,,2e-08,PASS,geoid_N1.json + derivation R/(R+H+N)
N1,geodetic->SPC 2111,usft,combined_factor,1.0000904,1.0000903950961955,4.903804474e-09,,2e-08,PASS,llh_N1_2111.json k * derived EF
N2,geodetic->SPC 2111,usft,northing,1195095.513,1195095.513,0,0,0.006561666666666667,PASS,llh_N2_2111.json
N2,geodetic->SPC 2111,usft,easting,25867421.524,25867421.524,0,0,0.006561666666666667,PASS,llh_N2_2111.json
N2,geodetic->SPC 2111,usft,grid_scale_factor,1.00038104,1.00038104,0,,2e-08,PASS,llh_N2_2111.json
N2,geodetic->SPC 2111,usft,convergence_arcsec,-4033.17,-4033.17,0,,0.02,PASS,llh_N2_2111.json
N2,geodetic->SPC 2111,usft,geoid_height_m,-34.777,-34.777,0,,0.002,PASS,geoid_N2.json
N2,geodetic->SPC 2111,usft,elevation_factor,0.99997564,0.9999756404239118,-4.239117946e-10,,2e-08,PASS,geoid_N2.json + derivation R/(R+H+N)
N2,geodetic->SPC 2111,usft,combined_factor,1.00035667,1.000356671141939,-1.141938988e-09,,2e-08,PASS,llh_N2_2111.json k * derived EF
N3,geodetic->SPC 2111,usft,northing,635457.02,635457.02,0,0,0.006561666666666667,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,usft,easting,26915112.474,26915112.474,0,0,0.006561666666666667,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,usft,grid_scale_factor,0.99990954,0.99990954,0,,2e-08,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,usft,convergence_arcsec,6907.65,6907.65,0,,0.02,PASS,llh_N3_2111.json
N3,geodetic->SPC 2111,usft,geoid_height_m,-36.636,-36.636,0,,0.002,PASS,geoid_N3.json
N3,geodetic->SPC 2111,usft,elevation_factor,0.99997703,0.9999770306594294,-6.594294e-10,,2e-08,PASS,geoid_N3.json + derivation R/(R+H+N)
N3,geodetic->SPC 2111,usft,combined_factor,0.99988657,0.999886572737236,-2.737235993e-09,,2e-08,PASS,llh_N3_2111.json k * derived EF
N4,geodetic->SPC 2111,usft,northing,856361.494,856361.494,0,0,0.006561666666666667,PASS,llh_N4_2111.json
N4,geodetic->SPC 2111,usft,easting,25855966.45,25855966.45,0,0,0.006561666666666667,PASS,llh_N4_2111.json
N4,geodetic->SPC 2111,usft,grid_scale_factor,1.00000944,1.00000944,0,,2e-08,PASS,llh_N4_2111.json
N4,geodetic->SPC 2111,usft,convergence_arcsec,-4083.65,-4083.65,0,,0.02,PASS,llh_N4_2111.json
N4,geodetic->SPC 2111,usft,geoid_height_m,-33.796,-33.796,0,,0.002,PASS,geoid_N4.json
N4,geodetic->SPC 2111,usft,elevation_factor,0.99996215,0.99996214769776,2.302239954e-09,,2e-08,PASS,geoid_N4.json + derivation R/(R+H+N)
N4,geodetic->SPC 2111,usft,combined_factor,0.99997159,0.9999715873404342,2.65956579e-09,,2e-08,PASS,llh_N4_2111.json k * derived EF
C1,geodetic->SPC 2112,m,northing,33647.1759,33647.176,-9.999999747e-05,-9.999999747e-05,0.002,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,m,easting,5831772.7153,5831772.715,0.0003000004217,0.0003000004217,0.002,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,m,grid_scale_factor,1.00018455,1.00018455,0,,2e-08,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,m,convergence_arcsec,-5298.06,-5298.06,0,,0.02,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,m,geoid_height_m,-34.731,-34.731,0,,0.002,PASS,geoid_C1.json
C1,geodetic->SPC 2112,m,elevation_factor,0.99997406,0.9999740639181466,-3.918146585e-09,,2e-08,PASS,geoid_C1.json + derivation R/(R+H+N)
C1,geodetic->SPC 2112,m,combined_factor,1.00015861,1.0001586091316426,8.68357386e-10,,2e-08,PASS,llh_C1_2112.json k * derived EF
C2,geodetic->SPC 2112,m,northing,287134.3074,287134.307,0.000400000019,0.000400000019,0.002,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,m,easting,5972579.0185,5972579.018,0.000500000082,0.000500000082,0.002,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,m,grid_scale_factor,1.00005242,1.00005242,0,,2e-08,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,m,convergence_arcsec,-898.55,-898.55,0,,0.02,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,m,geoid_height_m,-35.396,-35.396,0,,0.002,PASS,geoid_C2.json
C2,geodetic->SPC 2112,m,elevation_factor,0.99997574,0.9999757375629424,2.437057556e-09,,2e-08,PASS,geoid_C2.json + derivation R/(R+H+N)
C2,geodetic->SPC 2112,m,combined_factor,1.00002816,1.0000281562911055,3.708894525e-09,,2e-08,PASS,llh_C2_2112.json k * derived EF
C3,geodetic->SPC 2112,m,northing,161494.8637,161494.864,-0.0003000000142,-0.0003000000142,0.002,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,m,easting,5900736.8905,5900736.89,0.000500000082,0.000500000082,0.002,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,m,grid_scale_factor,0.99991763,0.99991763,0,,2e-08,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,m,convergence_arcsec,-3188.84,-3188.84,0,,0.02,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,m,geoid_height_m,-34.67,-34.67,0,,0.002,PASS,geoid_C3.json
C3,geodetic->SPC 2112,m,elevation_factor,0.99997609,0.9999760944195758,-4.419575816e-09,,2e-08,PASS,geoid_C3.json + derivation R/(R+H+N)
C3,geodetic->SPC 2112,m,combined_factor,0.99989373,0.9998937263886785,3.611321575e-09,,2e-08,PASS,llh_C3_2112.json k * derived EF
C4,geodetic->SPC 2112,m,northing,109639.1815,109639.182,-0.0004999999946,-0.0004999999946,0.002,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,m,easting,6069157.7977,6069157.798,-0.0003000004217,-0.0003000004217,0.002,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,m,grid_scale_factor,0.9999753,0.9999753,0,,2e-08,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,m,convergence_arcsec,2203.99,2203.99,0,,0.02,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,m,geoid_height_m,-35.254,-35.254,0,,0.002,PASS,geoid_C4.json
C4,geodetic->SPC 2112,m,elevation_factor,0.99997713,0.9999771276418008,2.358199191e-09,,2e-08,PASS,geoid_C4.json + derivation R/(R+H+N)
C4,geodetic->SPC 2112,m,combined_factor,0.99995243,0.999952428206748,1.793251991e-09,,2e-08,PASS,llh_C4_2112.json k * derived EF
C1,geodetic->SPC 2112,ift,northing,110390.997,110390.997,0,0,0.006561679790026247,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,ift,easting,19133112.583,19133112.583,0,0,0.006561679790026247,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,ift,grid_scale_factor,1.00018455,1.00018455,0,,2e-08,PASS,llh_C1_2112.json
